,id,total_ratings,popularity,median_property_price,total_stops,compoetitiveness,entropy
222,3fd66200f964a520bee61ee3,0,HIGHLY UNPOPULAR,2279279.0,23,-0.07246376811594203,1.4697454853300274
135,5796cc69498ee5f2a42760cb,0,NEUTRAL,437500.0,31,-0.05555555555555555,1.409886737055348
185,3fd66200f964a5206ce31ee3,0,UNPOPULAR,831666.6666666666,20,-0.021739130434782608,1.4696420177337997
227,4c0c678398102d7f99bae006,0,HIGHLY UNPOPULAR,1225401.0623052958,20,-0.08333333333333333,1.2703994189276515
64,5acacb5f04d1ae058fa2b7a1,8,POPULAR,2227931.0,23,-0.06976744186046512,1.5853435393809499
144,4bd789145cf276b06a959b00,13,NEUTRAL,437500.0,11,-0.0625,1.5636207435536142
101,5c096ec4bf7dde002cf4ec1a,0,NEUTRAL,437500.0,16,0.0,1.3715192480087868
232,4e57f4d845dd1de4d98ea493,0,HIGHLY UNPOPULAR,1225401.0623052958,19,-0.05555555555555555,1.2218247278073084
191,4c113784b93cc9b6d50258e0,0,UNPOPULAR,437500.0,20,0.0,1.1242030405556924
127,4d6955142acd6ea8b3c638c0,0,NEUTRAL,1225401.0623052958,13,-0.023255813953488372,1.4268794453098752
233,50ce6f37498ee21ade3dea66,11,HIGHLY UNPOPULAR,1733750.0,28,-0.06818181818181818,1.4278756893742437
23,49e4f405f964a52078631fe3,748,HIGHLY POPULAR,2227931.0,30,-0.06741573033707865,1.5527800076132838
42,5705d4c5498e87ef65e804d5,0,HIGHLY POPULAR,630000.0,12,-0.037037037037037035,1.3114547368203624
83,5b8e97bc31ac6c002cd8f605,0,POPULAR,1225401.0623052958,33,0.0,0.8193820026016112
168,51a63ef7498e9eedb94e0c5f,0,UNPOPULAR,2279279.0,29,-0.07792207792207792,1.4539254660365066
82,4f320fa819833175d60ca3bf,0,POPULAR,630000.0,12,0.0,1.1214813959193144
73,52044ce6498e613a1930e231,54,POPULAR,449000.0,4,0.0,1.0003923426013537
41,3fd66200f964a52074e51ee3,211,HIGHLY POPULAR,970000.0,23,-0.07692307692307693,1.4916498125437543
87,4db99e916a2334682dac5e74,0,POPULAR,437500.0,29,-0.03225806451612903,1.4525191137485975
108,5c314123b04056002c8e6c8f,0,NEUTRAL,2279279.0,29,-0.06060606060606061,1.5829420991567078
142,4bbb87bfed7776b0a38f3e51,0,NEUTRAL,437500.0,30,0.0,1.075420465683279
170,4f32210c19836c91c7b8ec7b,0,UNPOPULAR,2279279.0,21,-0.04411764705882353,1.4495655853181117
55,522e3a5e11d2b5186ee2b4b1,0,POPULAR,831666.6666666666,26,0.0,0.8204514002553331
157,4bb7389d46d4a593b130c7c0,0,UNPOPULAR,449000.0,16,-0.16666666666666666,0.978837914159631
